[2025-11-24 18:22:43] REGISTRO → Robot 0
[2025-11-24 18:22:43] REGISTRO → Robot 1
[2025-11-24 18:22:43] REGISTRO → Robot 2
[2025-11-24 18:23:26] REGISTRO → Robot 0
[2025-11-24 18:23:26] REGISTRO → Robot 1
[2025-11-24 18:23:26] REGISTRO → Robot 2
[2025-11-24 18:23:44] REGISTRO → Robot 0
[2025-11-24 18:23:44] REGISTRO → Robot 1
[2025-11-24 18:23:44] REGISTRO → Robot 2
[2025-11-24 18:25:14] REGISTRO → Robot 0
[2025-11-24 18:25:14] REGISTRO → Robot 1
[2025-11-24 18:25:14] REGISTRO → Robot 2
[2025-11-24 18:25:15] ENVIADO → id=1, ang=0.0, dist=0.0, Out=1
[2025-11-24 18:26:40] REGISTRO → Robot 0
[2025-11-24 18:26:40] REGISTRO → Robot 1
[2025-11-24 18:26:40] REGISTRO → Robot 2
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-53.870624417320926, dist=0.6547865262940148, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=53.94173413258912, dist=0.6547865262940148, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-53.870624417320926, dist=0.6547865262940148, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=53.94173413258912, dist=0.6547865262940148, Out=0
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-53.870624417320926, dist=0.6547865262940148, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=53.94173413258912, dist=0.6547865262940148, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-57.40696582156741, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=124.48914937401514, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.30426777806065, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.90145550988223, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
